HDR,ROLLING SYSTEM DEMAND
VD,20220221220000,32946
VD,20220221220500,32348
VD,20220221221000,32244
VD,20220221221500,31891
VD,20220221222000,31454
VD,20220221222500,31081
VD,20220221223000,30768
VD,20220221223500,30588
VD,20220221224000,30288
VD,20220221224500,30128
VD,20220221225000,29847
VD,20220221225500,29286
VD,20220221230000,29122
VD,20220221230500,28785
VD,20220221231000,28453
VD,20220221231500,28141
VD,20220221232000,27750
VD,20220221232500,27247
VD,20220221233000,27090
VD,20220221233500,26997
VD,20220221234000,26836
VD,20220221234500,26635
VD,20220221235000,26480
VD,20220221235500,26629
VD,20220222000000,26741
VD,20220222000500,26861
VD,20220222001000,26948
VD,20220222001500,26808
VD,20220222002000,26676
VD,20220222002500,26531
VD,20220222003000,26644
VD,20220222003500,27001
VD,20220222004000,27087
VD,20220222004500,27115
VD,20220222005000,27065
VD,20220222005500,27001
VD,20220222010000,26972
VD,20220222010500,27015
VD,20220222011000,27089
VD,20220222011500,27222
VD,20220222012000,27000
VD,20220222012500,26516
VD,20220222013000,26349
VD,20220222013500,26316
VD,20220222014000,26350
VD,20220222014500,26460
VD,20220222015000,26370
VD,20220222015500,26230
VD,20220222020000,26234
VD,20220222020500,26184
VD,20220222021000,26072
VD,20220222021500,26002
VD,20220222022000,25941
VD,20220222022500,25728
VD,20220222023000,25791
VD,20220222023500,25860
VD,20220222024000,25846
VD,20220222024500,25735
VD,20220222025000,25606
VD,20220222025500,25538
VD,20220222030000,25249
VD,20220222030500,24836
VD,20220222031000,25099
VD,20220222031500,25210
VD,20220222032000,25133
VD,20220222032500,25084
VD,20220222033000,24944
VD,20220222033500,24884
VD,20220222034000,24839
VD,20220222034500,24725
VD,20220222035000,24633
VD,20220222035500,24491
VD,20220222040000,24413
VD,20220222040500,24593
VD,20220222041000,24360
VD,20220222041500,24615
VD,20220222042000,24862
VD,20220222042500,25007
VD,20220222043000,24991
VD,20220222043500,24979
VD,20220222044000,25054
VD,20220222044500,25078
VD,20220222045000,25085
VD,20220222045500,25151
VD,20220222050000,25193
VD,20220222050500,25305
VD,20220222051000,25435
VD,20220222051500,25648
VD,20220222052000,25712
VD,20220222052500,25742
VD,20220222053000,25693
VD,20220222053500,25667
VD,20220222054000,25807
VD,20220222054500,25998
VD,20220222055000,26065
VD,20220222055500,26178
VD,20220222060000,26075
VD,20220222060500,26166
VD,20220222061000,26600
VD,20220222061500,26720
VD,20220222062000,26971
VD,20220222062500,27229
VD,20220222063000,27296
VD,20220222063500,27599
VD,20220222064000,28274
VD,20220222064500,28723
VD,20220222065000,29283
VD,20220222065500,29331
VD,20220222070000,29524
VD,20220222070500,30010
VD,20220222071000,30486
VD,20220222071500,30795
VD,20220222072000,31148
VD,20220222072500,31448
VD,20220222073000,31692
VD,20220222073500,31725
VD,20220222074000,31955
VD,20220222074500,32178
VD,20220222075000,32549
VD,20220222075500,33017
VD,20220222080000,33191
VD,20220222080500,33500
VD,20220222081000,33804
VD,20220222081500,34057
VD,20220222082000,34200
VD,20220222082500,34361
VD,20220222083000,34458
VD,20220222083500,34515
VD,20220222084000,34520
VD,20220222084500,34524
VD,20220222085000,34484
VD,20220222085500,34629
VD,20220222090000,34821
VD,20220222090500,35283
VD,20220222091000,35293
VD,20220222091500,35238
VD,20220222092000,35339
VD,20220222092500,35380
VD,20220222093000,35337
VD,20220222093500,35270
VD,20220222094000,35233
VD,20220222094500,34990
VD,20220222095000,35038
VD,20220222095500,34992
VD,20220222100000,34853
VD,20220222100500,34782
VD,20220222101000,34709
VD,20220222101500,34542
VD,20220222102000,34563
VD,20220222102500,34451
VD,20220222103000,34192
VD,20220222103500,34124
VD,20220222104000,34021
VD,20220222104500,34091
VD,20220222105000,34178
VD,20220222105500,34284
VD,20220222110000,34282
VD,20220222110500,34277
VD,20220222111000,34323
VD,20220222111500,34187
VD,20220222112000,34152
VD,20220222112500,34098
VD,20220222113000,34037
VD,20220222113500,34013
VD,20220222114000,33893
VD,20220222114500,33841
VD,20220222115000,33840
VD,20220222115500,33834
VD,20220222120000,33840
VD,20220222120500,33917
VD,20220222121000,34098
VD,20220222121500,34082
VD,20220222122000,34084
VD,20220222122500,34013
VD,20220222123000,33860
VD,20220222123500,33817
